"타임스탬프","1-1. Can recognize that the background of the photo and the style of the subject(Dog) are different.","1-2. The subject(Dog) was well trained like a style image (no 1 / yes 6)","2-1. Can recognize that the background of the photo and the style of the subject(Cat) are different.","2-2. The subject(Cat) was well trained like a style image (no 1 / yes 6)","3-1. Can recognize that the background of the photo and the style of the subject(Horse) are different.","3-2. The subject(Horse) was well trained like a style image (no 1 / yes 6)","4-1. Can recognize that the background of the photo and the style of the subject(Sheep) are different.","4-2. The subject(Sheep) was well trained like a style image (no 1 / yes 6)","5-1. Can recognize that the background of the photo and the style of the subject(Cow) are different.","5-2. The subject(Cow) was well trained like a style image (no 1 / yes 6)"
"2019/12/14 1:23:53 오후 GMT","아니오","5","예","2","예","3","예","4","예","4"
"2019/12/14 1:24:44 오후 GMT","예","6","예","6","예","6","예","6","예","6"
"2019/12/14 1:25:29 오후 GMT","예","6","예","6","예","6","예","5","예","3"
"2019/12/14 1:25:33 오후 GMT","예","6","예","6","예","6","예","6","예","6"
"2019/12/14 1:25:33 오후 GMT","예","3","예","5","예","5","예","2","예","3"
"2019/12/14 1:25:47 오후 GMT","예","6","예","6","예","6","예","6","예","6"
"2019/12/14 1:25:58 오후 GMT","예","5","예","5","예","4","예","5","예","5"
"2019/12/14 1:26:50 오후 GMT","예","4","예","5","예","4","예","3","예","4"
"2019/12/14 1:27:26 오후 GMT","예","5","예","5","예","5","예","2","예","4"
"2019/12/14 1:31:46 오후 GMT","예","6","예","6","예","6","예","6","예","6"
"2019/12/14 1:31:54 오후 GMT","예","5","예","4","예","4","예","4","예","3"
"2019/12/14 1:33:54 오후 GMT","아니오","2","아니오","1","예","5","예","4","예","4"
"2019/12/14 1:37:48 오후 GMT","예","2","예","5","예","3","예","5","예","3"
"2019/12/14 1:42:22 오후 GMT","예","4","예","4","예","4","예","2","예","4"
"2019/12/14 1:43:40 오후 GMT","예","5","예","4","예","4","예","5","예","5"
"2019/12/14 1:44:50 오후 GMT","예","6","예","6","예","6","예","6","예","6"
"2019/12/14 1:45:53 오후 GMT","예","6","예","6","예","6","예","6","예","6"
"2019/12/14 1:50:33 오후 GMT","예","6","예","4","예","1","예","3","예","3"
"2019/12/14 2:05:37 오후 GMT","예","5","예","4","예","3","예","3","예","4"
"2019/12/14 2:20:13 오후 GMT","예","5","예","5","예","6","예","6","예","3"
"2019/12/14 2:57:35 오후 GMT","예","6","예","6","예","5","예","6","예","4"
"2019/12/14 4:29:03 오후 GMT","예","4","예","3","예","3","예","4","예","3"
"2019/12/14 4:36:09 오후 GMT","예","5","예","3","예","3","예","3","예","3"
"2019/12/14 4:51:28 오후 GMT","예","3","아니오","2","예","5","예","4","예","5"
"2019/12/14 5:04:26 오후 GMT","예","5","예","4","예","3","예","3","예","2"
"2019/12/14 5:38:48 오후 GMT","아니오","4","예","5","아니오","6","예","5","예","6"
"2019/12/14 6:20:47 오후 GMT","예","6","예","6","예","6","예","5","예","4"
"2019/12/15 1:30:27 오전 GMT","예","6","예","6","예","6","예","6","예","5"
"2019/12/15 5:47:24 오전 GMT","예","6","예","6","예","6","예","4","예","5"
"2019/12/15 6:24:45 오전 GMT","예","6","예","6","예","6","예","6","예","6"